nome,user_id,ativo,filial_codigo
,user_30ak8RzbBE20jMWnj4xJrteAMY2,N,
,user_34QQHZ05Cm5FoG2UbJ0yvHQNSZb,S,SCS
,user_34pcu15lfitUyQUsU6IU0poCiQr,N,
,user_2x8VLa0bfIicwfVa7EQfgeRpbWz,N,
,user_30bDGblM3ICvD6vq3QdI4yaIPxm,S,VA
,user_3C4bsFi7DnmRZIlB6AyhOMDtQBe,N,
,user_35IlkxLFxxCigseCg0T1e1AbdBy,N,
,user_32WHyUFOoW1L95YtxQAywnNmn08,S,SCS
,user_350qj8ezLzDgQ8g4uHkZZNXjibf,N,
,user_35Hm78LWFtzU2IBsANWhmEwKzc1,N,
,user_35JAOWMH1bf8AlSy7zXt4gnwZV8,S,SCS
,user_32TTRvPe00qwZ0OJtIEVyduEtTg,N,
,user_35734u2GIg5p9RkaAAsh2kTTvMV,N,
,user_31e6sGlBIuA6P0JisATAW73UbQD,S,
,user_356RJkRM3C18PspecdhS1So6ElU,N,
,user_2wgs7rXuCTyq1TqRYMG6e3PfSPS,N,
,user_2wmvBgYrslTIiFxUF9517ZCcuoR,S,SCS
,user_2x9lkhib42B6xyvDeFXFRSfskVv,S,SCS
,user_2z0nGyP8AI7BtsEbKryC238ju6t,S,SCS
,user_30bItb05FdiuPuVHKVBYbUGKYwp,S,SCS
,user_30bhTyOS0cgX4rrOp5pl32oeDE7,S,SCS
,user_30eBUOdtYc66bUNQhEPeSb7NVo4,S,SCS
,user_31AOJriBC8jIImQ9l6Mn7YVROKv,N,
,user_30nhRhrE7sVtBGsJp4Cf9KzQmys,S,SCS
,user_2uDToocLfdiImJqDA951VvdeC7T,S,SCS-CL
,user_30bJUmWLNwoi59pjVVa6jeZ2UgQ,S,SCS
,user_351Dbf1qRAEs3eYcp9n5PESXO5n,S,CAC
,user_34hrdaaeYPEMxN9kKUILBizzAab,N,
,user_35NquA8JLpJ4J1I9yQZvUfMY4dT,S,CAC
